Urdu,Roman Urdu
اجڈ,aged
بخشے,bakshay
اِسپیک,speak
عمال,lana
وائبریشن,follow
ایئر,year
اوٹکري,outcry
سشول,school
ڈیٹا,data
۱۰۰,k100
کٔم,come
کلمہ,kro1kalma
ڈیوڈ,davdaas
سنتے,asul
رئپلاۓ,reply
ننبر,number
سانپ,bichho
ايرتھ,earth
اوران,uraan
وسیع,upny
بھولا,bola
شہک,shaukat
تصویریں,tasveerainphir
عضو,ajao
اکپينسٔو,expensive
ایجوکیشن,education
آیات,murad
اونلاین,online
اوپن,open
اغوا,kidnap
ایوانے,dewaane
ہوم,hmpg
ہز,this
ماونٹين,mountain
ووڈ,void
لۓ,liye
عمرزئی,beauty
فائی,highfaihahahahaha
مٔٹ,might
سہتے,tamasha
ہیک,hack
اسپيڈ,speed
يونئورسٹي,university
مآءیند,mind
اُساما,usama
اسپلٹ,split
مجال,zaman
ایر,year
لٔور,liver
اوپر,upar
راک,rock
ائٹ,eight
ٹوٹتی,ti
ے,ye
آہستہ,ahista
فيس,face
ملوث,mulawis
۱۲۲,122
ياونگ,young
بستی,bus
پیپر,paper
ہٹ,hat
دھمکیاں,yardhamkian
حنک,thank
منگل,mangal
پؤئٹری,poetry
گر,gir
ٹوف,tough
بالکل,blkul
وصال,wisaal
پرفامنس,performance
انفارمیشن,infomation
يناؤ,enough
مکر,mukar
کناروں,kinare
غصے,gusa
جملہ,jumla
بد,badal
سئون,seven
تسلی,tasalli
اعظم,azam
خستہ,khasta
ادہ,ado
منہ,moun
کیدو,frndskidunya
اسپيس,space
زرارت,ziarat
ویز,nywayx
علی(رض,ra
کلام,kalaam
وائف,wife
حينجر,hunger
سلان,salman
راج,loveurajj
ہوئے,huy
مسلسل,musalsal
فرشتوں,thafarishton
حملہ,hamla
مسلّز,muscles
صحابہ,sahaba
فنی,funny
نہ,na
نشہ,nasha
تھکن,thakan
ايک,aik
٢٣,atif23
وسط,twist2q
تر,tara
هایپر,hyper
بچہ,bacha
مٹی,mitti
حکيم,hakeem
فاصلہ,faasla
فتح,fatah
نیچر,neture
ڈيٹ,date
مپرؤو,improve
سپیس,space
سمن,saman1
ابھی,abi
بکھر,bikhar
بن,ban
لیک,loverzlyke
سکندر,sikandar
فرح,farah
ہر,har
اررانجمنٹ,arrangement
نکلتے,nikalty
ٹاؤ,tough
رہنے,rehny
پروگرام,prng
قسمآی,kasam
شغل,shugal
صب,sub
یاب,kamyam
سأو,save
تحفہ,tohfa
آوارہ,awaraboyz
اسوقت,he
ہمّت,himmat
فیئر,fear
باےکرنے,bye
پرائویٹ,private
تیاریاں,tayarun
چھٹی,chutti
کلر,kiler
فل,ful
گيم,game
یوراج,loveurajj
کنٹرول,cntr0l
نائب,naib
سرنگ,sarang
یکسر,yaksar
فاینڈ,find
وجہ,waja
تیگ,tag
ڈرایئور,driver
سمجھتے,samjtay
موباءل,mobile
مائ,my
نمبرز,number
۴۰,40
بلند,buland
ٹیک,take
ٹراوسيرس,trousers
منکر,munkir
نقوی,nqvi
حق,huq
گريس,grace
دیجئے,dijiye
چھین,cheen
اینڈ,and
بڑے,bary
رپلاءی,reply
گلہ,gila
جوکز,jokes
ٹيگ,tag
حد,had
نيم,name
مسیج,msg
بندر,bandar
انوائٹ,invite
مکوڑے,makory
لگ,lag
دِل,dil
کرن,kiran
جڑ,jarr
بدن,badin
فریبڈ,friend
انڈودوال,individual
نمبرپر,number
جاب,jok
چلانا,chalna
ہیکر,shikaryr
بر,bar
سٹياشن,situation
سنسر,sincere
فجر,fajar
اپک,pak
ملکہ,malika1hahaha
سائے,saye
ٹم,timing
عینی6,sani
حابٹاشن,habitation
پھٹان,pathan
ذریعے,zariyhe
صائم,saim
دن,din
گھبرا,kbighbra
انوولو,involve
بليم,blame
اِن,in
ستمبر,sep
چہرہ,chehra
بیشک,be¤hak
مانسرہ,mansehra
مچھلی,machli
پاسز,pases
سندھ,farazsindhi
ڈینجر,danger
مجہمیں,me
کس,kis
گز,gaz
گَپ,gap
خواہشات,hainaurkhwahishat
پيٹشن,petition
پھنسا,phasa
بہنوں,behn0n
اکھاڑ,ukar
طریقہ,tariqa
مدت,mudat
الي,ali
شعروشاعری,shaairi
پھینک,pehnk
ہهو,hon
طرفہ,tarafa
پہنچا,ponch
کدر,kadar
ہنر,hunar
خين,khan
اساسن,assassin
وہ,wo
مائے,my
مسٹر,mr
اِس,is
بهئی,bhai
زہر,zehar
لوين,loan
مٹ,mit
یاسمین,yesmanhi
آیتٹڈ,attend
سوائے,siwae
بائے,bye
فو,itfun
بدلہ,badla
اباوٹ,about
مشورہ,mashwara
ببیز,babies
روکتا,rota
چھپے,chhupy
فاروقی,z¤firaq1
سوئیں,soin
کین,can
انوأٹ,invite
۱۶۰,160
رکھنے,rakhy
واپسی,wpsi
کنوليڈج,knowledge
مسےوز,misuse
ڈکٹر,doctor
پہر,pehar
سلیک,lvrslyk
دفن,dafan
ریکوۓسٹ,request
چیٹنگ,chating
شاوٹ,shout
ریپرسنتتیز,representative
اککساشن,accusation
نظر,nazar
امتحان,exam
حئون,heaven
پڑھائی,parhai
فنکشن,function
سیکشن,section4
پیور,pure
مسائل,masaail
شرمندہ,sharminda
ٹھوکروں,thkron
ڈیٹ,date
رہبر,rahbar
اعلان,ilan
چھوتی,chutti
مڑ,mur
شدت,shiddat
نبمر,number
ريس,race
پچھلی,pichli
پوٹرے,poetry
بلایا,haibulaya
سیو,save
رسک,rax
مزہ,mza
موو,move
يوز,use
صحن,sehan
کمینہ,kamina
عالیہ,alyia
خشیاں,terakhushian
علوی,alvi
عابد,abid
ملاحظہ,mulahiza
سبق,ise
صدیاں,sadayein
ہمسفر,humsafar
کھدائی,khudai
عنایت,si
حمزہ,hamza
کٹی,kitty
حم,him
گلابان,gulistan
مدينہ,madina
گھومنے,guhmne
پولائیٹ,polite
فلاور,flower
ڈان,don
حلال,halaal
پوچھتے,pochty
جناح,jinnah
بگذ,bugs
امریکا,usa
گرلز,girls
سٹیٹس,stats
موبائل,mobile
دسمبر,december
قدر,qadar
چھوڑنا,chorna
میسج,msg
پھنسانے,phasane
بائیک,bike
ڈراپ,drop
کلئور,clever
تهیت,tek
ارمانی,aw
کويسشن,question
ڈريسشن,direction
بورهتر,brother
دیک,dil
ابؤو,above
جم,jamhazaron
تمنا,tamana
کھیو,kahiyo
گرانڈمودر,grandmother
لیونگ,leavng
مسنگ,missing
ہوی,th
بلیم,blame
چینج,change
السلام,asalam
صدیق,siddique
ضامن,zaamin
پوچھنا,puchna
ڈھلنے,dhundley
کیڑے,gooshtkeere
سازو,chara§sazo
دائر,dair
جرگہ,jarga
کمنگ,upcoming
رمضان,rum
شیم,shame
ٹکڑا,tukara
پرائیویٹ,private
اسیر,espnstaraseer
گئے,gye
ارے,ary
نوے,nawway
مئی,may
پلٹ,palat
میسیج,msg
اسسے,use
جگہ,jaga
پہ,pe
اگست,august
کھلاؤں,kay
پردہ,parda
گزر,guzar
روتے,roye
ماوتھ,mouth
صف,saf
فتویٰ,ftawa
اہل,all
امسالو,ha
زار,bezaar
رائیٹ,rit
سيرٔور,server
جل,jal
ايذي,easy
وال,sanwal
یونی,uni
مریں,maray
فلک,falak
عقبہ,aqbanhi
ٹکڑے,tukry
گروانڈ,ground
حیان,shayan
شاپ,shop
آسٹریلیا,australiya
رومیٹک,romantic
لگاتا,lagta
زاد,zaat
ٹھاک,thaam
سُن,sun
مام,mom
راۓ,rai
حوالہ,hawala
دلک,dil
فلے,fly
ڈیوٹی,dute
ناؤ,now
لپ,ljp
جنھیں,gh„z†l£jinhain
گائز,guy
ٹریکس,tracks
مچ,match
لیبل,label
قحط,qehat
یہ,ye
ااچھے,ache
رجب,rajab
لکھے,leky
چیگ,change
زمہ,zama
یوح,yon
مدیحہ,madiha
آۓ,aye
سمول,small
نگر,nagaras
ظفر,zafar
چھپا,chupa
زہ,za
مءی,may
ڈیدیکیٹ,dedicated
ڈالنا,matdalnablkymasjid
جدھر,jidhar
بتائیں,bataen
ناٹ,nt
اانہ,enter
ایکسیپت,except
تہمت,tohmat
مانے,mainy
چھوڑ,chor
ستم,sitam
ھے,hy
شمس,haishams1
نظم,nazim
فائدہ,faida
کپتان,capton
میوذک,music
ہیپی,happy
حصہ,hissa
رحمت,ra
سنٹر,center
سٹک,lipstick
حمد,allhamdo
انسین,insane
جھلک,jhalak
نفرت,nafrat
باکس,box
متحد,muttahid
نئور,never
استعمال,istemal
گرانڈفادر,grandfather
بہن,behan
ایبیوز,abuse
بھٹی,aabhati
کمینے,kamina
کوٹہ,quota
ایرےا,area
فر,fir
ید,yad
چیٹ,chat
کرکٹ,cricket
اینجل,angel
میسجج,msg
ماں,maa
اچھلنا,uchalna
للہ,bismillah
عید,eid
پکڑا,pakda
گاڈ,god
سنائیں,sunaen
فوٹبول,football
امن,ma
مٹھائی,mathai
وت,wha
مدار,madaar
هاکي,hockey
چه,cherry
پن,pan
پڑھتے,pharta
پکڑ,pakar
بلے,baly
لیٹ,late
آرگؤ,argue
چوز,chose
صد,sad
خلل,khalal
لگاتے,lagaty
فرات,faraat
ایڈمن,admin
بسنے,basny
نہيں,ni
پکستی,pakistani
سوئے,soe
چھوٹ,chot
نیم,name
صم,sum
پوچھوں,pochon
نکل,nikal
جتایا,ehsaanjataya
حلوہ,halwa
رپلاے,reply
اينسوير,answer
شیطان,karnakemanshaitan
گڈ,good
سک,sak007
دکان,dukaan
جیتیں,jeetege4ndshpland
فرمائیں,frmaenge
فائر,fire
ايدر,either
لگن,logun
ہوئی,hui
لگنے,lagny
سم,sim
میل,male
روئے,roye
انجل,angel
نائس,nice
سکهر,sukkur
گم,gum
قطر,qatar
اذیت,azziyati
مہک,mahikm
شئیر,shear
پاساج,passage
هیو,have
انٹی,itni
فائدے,faiday
سیچرڈے,sat
پلس,starplus
وفائی,bewafai
سنے,sony
رپلائی,reply
پليس,place
بہانہ,bahana
سبکو,sub
روو,roopa
چھوڑے,chory
آرہے,oupar
فرینڈ,frnd
رائن,rain1
لگانے,lagny
لوؤر,lover
دہ,da
ترے,tery
حادثہ,sehma
گرہوں,jigar
تومجھے,tujhe
طہ,te
جد,sajid
ہوائیں,hawaen
ڈرل,darul
ہاؤس,house
بچانے,bachny
ایزی,easy
ہوجانے,hojaye
چھولے,cholay
ٹاءیم,time
فورجٹ,forget
عرشہ,hai
ماجِد,majid
قاءم,qaim
بلکل,bilkul
مؤو,move
پر,par
علامہ,allama
گۓ,gye
لکی,lucky
رسیو,receive
جس,jis
عاصمہ,asma
کدہ,kda
چھو,choo
حئٹ,height
نالائق,nalayaqlog
کمرھ,kamra
بجھ,nebujh
بردار,bro
نعمان,noman
ایکسپت,accept
فرمائی,farmai
گولڈ,ablegoldgood
جنگلوں,haijanglon
ٹوسٹ,2st
طرح,tarah
بانہوں,sub
مس,miss
عاشق,ashiq
محمد,muhammad
ابے,aby
اير,air
اجڑ,dilujjar
تائد,tag
آؤٹ,out
آہی,am
ہنِّی,honey
اپر,par
اولسو,also
دھڑک,dharhak
۱۰,10
فهد,fahad
ہیون,heav3n
مید,made
لعنت,laanat
مشررف,musharraf
گریڈ,grade
ڈیئر,dear
مت,mat
فرینک,frank
دتھ,death
پور,mirpur
ہفتہ,hafta
جنکا,jenake
رنز,rns
مذہب,mazhab
چھری,churi
فادر,father
مائی,my
پڑتے,party
فیکٹری,fctry
عامر,amir
خوشگوار,khusgowar
دعاؤں,duaon
ایریا,area
قوت,quvat
تسلسل,tasalsul
شخس,shaks
ڈي,die
زندہ,zinda
چينل,channels
کيٹ,cat
آئیں,aen
صائمہ,saima
تیا,the
عاصم,asim
لگائی,lagai
سیکسی,sxy
بٹ,but
انسے,say
نن,nan
لائف,life
سرِشام,sar
سؤم,some
ایج20,age
پیجیز,page
طلبہ,talba
ایٹیٹیوڈ,attitude
انز,ans
جتنی,hotajitni
سخن,sukhan
بلاک,block
پرہیز,perhaz
حسن,hassan
کپل,cup
ايوریون,hi
مولوی,molvi
شاولڈ,should
گراؤنڈ,ground
پرل,pal
محسن,mohsin
چیلنج,chalnge
اساسناشن,assassination
ایڈ,add
سنانے,sunany
پٹ,pat
فارورڈ,forward
جن,jin
جنازہ,jinaza
آجائیں,ajaen
اینی,any
شئے,shiye
نصرت,nastur
غضب,ghassb
زوال,zawaal
سٹار٠٠٧مجھ,sy
گءے,gai
خالہ,khalasugra9
ڈاوبل,double
عائیشہ,ayesha
کعبہ,kaaba
مخلوق,uskimakhlooq
پرندہ,parinda
لاءک,like
بےعزتی,baezati
بتاو,bato
چائنا,china
ہنسنے,hansny
جوں,jayun
کپ,wcup
فنش,finish
زهره,zahra
رائیڈر,rider
ایور,ever
سبب,sabab
فرنڈ,friend
صادر,sadder
ناشن,nation
کنارہ,kinara
مرہ,mera
بہتر,behtar
لہذا,lihaza
سمٹ,urhesimat
درجن,darjan
اسرائیل,israil
سکس,six
پیج,page
زمانہ,zamana
فائن,fine
ٹکے,tikke
لائن,line
بک,bookz
سرحد,sarhad
سنیے,sunaye
کویٹه,quetta
بھت,bohat
فٹ,fit
فیکس,fix
سٹ,sit
بیڈ,bad
انسانوں,ins0no
دان,sadan
مگر,magar
انسول,uncle
گوشت,ge3
ٹائم,time
پلیز,plz
ہسسی,hey
بواۓ,boy
سن,sun
ہپی,happy
قد,qad
پرنسز,princes
لائے,lain
دوائیں,duaen
تب,tab
اوٹ,out
غصہ,gusa
مدینہ,madina
بِن,bin
شیّر,share
جاوید,javed
ہم,hum
آئے,aaey
سٹايل,style
قدرت,qudrat
گُم,gum
معاف,maf
لڑکوں,larkiyon
چھڑنے,chrny
ہزارہ,hazaraloverz
بونے,boy
صدام,saddam
سیزن,season
بچھڑا,bichra
دھبہ,dhaba
ڈففکلٹ,difficult
تگ,tag
حج,hujjat
خشحالی,khushali
آفِس,office
سالہ,salya
ایش,ash
باۓی,by
کھلاڑی,khiladi
ددی,di
انوایٹ,invite
ستھرا,sms
سیم,same
لایءٹ,light
پوچھتی,pochti
شکریہ,shukariya
مای,my
روزنامہ,detailsroznama
ریز,rays
چھڑا,chura
پوچھنی,puchni
ٹي,tie
ینی,uni
لیزی,lazy
بیلا,sub
کوو,koi
بلینک,blank
ايس,rhe
زہریلی,zehrali
ہیئر,here
ھر,har
انڈکاشن,indication
ینگ,young
صحابه,sahaba
سریل,sariyal
پڑھانے,parhny
پوچھتا,pochta
بردر,bro
سلسلہ,silsila
لڑکے,larky
قطرے,qismat
خار,meinkhaar
مسج,msg
لائین,line
سائیلنٹ,silent
در,dar
وائس,voice
مینی,many
صلح,salah
کہيں,kahin
پنس,penis
صبر,sabar
مچل,machal
هےں,han
پت,pat
اینٹینا,intena
تلے,taly
گرو,netguru
طیبہ,tayaba
فیک,fake
ریکارڈ,record
هوتيں,hoi
غلاظت,galaazat
الیکشن,election
فرنيچر,furniture
مر,mar
چھوٹی,choti
شکوہ,shikwa
روئیں,royen
جگہوں,jagaon
مرکز,markaz
کائنات,kainat
مچھر,machar
پشاور,peshwar
کروڑ,lak
رلیکسس,relax
حبيب,habib
مائل,maail
هم,hum
منفرد,munfarid
حيمين,human
مدّت,muddat
لوو,love
بھلے,lobhaly
ٹاوچ,touch
رشتہ,rishta
رک,ruk
جھنگوی,jhangvi
تک,tak
سٹاپ,stop
کچی,chachi
ستر,sattar
ایک,ek
ہاؤ,how
لمٹ,limit
بواے,boy
گھوسٹ,theghostslam
رت,rut
ایج,age
ایجنڈا,ga
جبہ,jab
اڈوس,advice
خضر,khizar
ابيوز,abuse
میکس,mexi
جائے,jaye
نين,nine
تکے,takiye
گئی,gai
لايٹ,light
اکتیویت,activate
جاۓ,jae
محور,mehvar
سائلنٹ,silent
دھیان,dehan
چھوٹا,chota
فائرنگ,firing
گئیں,gae
لئو,leave
ڈائٹر,daughter
یں,me
اِسے,isy
گھی,ge
لڑ,lar
لا‍ءف,life
آئینہ,aaina
ہوۓ,hue
خم,urslfkhumari
بلوں,billo
سين,can
سسٹر,sister
قسم,qasam
اففففففففف,ya
حجر,hijar
گوار,khushgwar
مودر,mother
کفن,kafan
پپر,paper
جگہیں,jagay
سلسلے,silsily
فیس,face
ایوان,aivan
یک,yaq
چھپ,chup
پ,ap
ورنہ,warna
ہیری,cherryhazara
کوئ,koi
جيلاوذي,jealousy
گُد,god
غربت,gurbat
نسائی,nisai
دلاور,deliver
ھوئی,hoi
کم,kam
ڈبل,double
یمنی,yamani
لیو,lev
قطرہ,wasiqatra
انجم,and
اذ,is
فکرمند,fikarmand
دلاتے,dilaty
پرسز,princes
ميل,male
فائل,fail
یوز,use
سڈ,side
پڑ,par
پٹاخہ,pathaka
قضا,jaoqaza
قائم,qaem
نثار,geonisar
روانڈ,round
پہلو,pehlao
طلبگار,talabgaar
سنائے,sunae
کير,car
محنت,mehnat
کھلنے,khulny
تنہائی,tanhai
فريڈے,friday
ڈاکٹر,dr
حيٹ,hat
گيأڈ,guide
جیون,jevan
ایوری,every
سکو,sho
سولو,solve
لکن,lakin
ٹرأول,travel
پیکج,pakge
انجیل,angle
دربدر,badar
منتظر,muntazir
مرتبہ,martaba
کیوٹ,cute
الیکٹرانک,electronicmedia
مکمل,mukammal
مسکن,muskan
کدھر,kidhar
بھٹک,bhattak
هین,han
لبر,labour
لپٹ,lipat
گائیں,gain
گوورنمنٹ,govt
طارق,tarap
کيسٹي,caste
ڈاوبٹ,doubt
محب,mahubat
نئی,nai
ی,dil
طلحہ,talha
مقابلہ,mokabala
مقدر,muqadar
ڈرایونگ,driving
بہار,bahaar
گیئں,gayn
چارجر,charger
گیس,gas
مل,mil
ہمہ,huma
گارڈ,safeguard
زنگی,zindgi
گئ,gi
پوئیٹری,poetry
محسنیاد,mohsin
تحت,thasub
لي,lie
ایکٹو,active
ایڈریس,adres
مسسج,msg
الفت,sar
ٹاپک,topic
ہیم,hum
ل,ill
سرو,srve
فِٹ,fit
دوم,skydome
انلمیٹڈ,indian
للٹريٹ,illiterate
انسأڈ,inside
زم,zimka
فھيم,faheem
ابّا,abba
سجدہ,sujda
کونسٹرکشن,construction
عائشہ,ayesha
نائلہ,naila
اپريل,april
ههےے,hai
ائٹي,eighty
کولیج,college
پرست,parast
سیمی,sami
مسلمز,muslims
ویئر,whr
منگنی,magny
اپڈيٹ,update
ہاو,how
مراد,dilmurad
پڑھیں,pak££parhai
فنجر,finger
نظارہ,nazara
پیپرز,papers
ڈرائیور,drivr
وجه,wajah
شائد,shyd
پچھلے,pichle
دلے,dil
رب,rab
مميڈيٹيلي,immediately
کک,kick
نائن,nine
بسسٹ,basit
ٹیکس,taxes
ہائیٹ,that9
بھئ,bhai
بننے,banay
اين,an
بل,bal
دکھاتے,dukaty
پرکئیٹکل,practical
لٹ,lote
چمن,chaman
ایدمن,admin
جنّت,jannat
ایچ!آی!آی۲,kha
پرسنل,personal
بھولے,bohly
مجمه,majma
اِز,is
کبر,akbar
حر,nhihar
گندے,gandy
غیب,ghayab
سکتے,sakty
پاوگے,paaogy
کييوز,cause
بلیو,beliyo
بادشاہوں,badshaonki
سلٔور,silver
بدمعاش,badmash
فقط,faqat
سگنل,signal
تہے,thy
پنسل,pencil
شعر,sher
قاری,qadirbux
مائیں,maayen
ڈرنے,drnykabole
ذمہ,zama
چھ,che
عا,bat
شیک,shak
انسين,insane
معاملے,mamlay
پہن,pehan
فارحين,farhan
قائل,qail
گوز,goes
مسلم,muslim
پڑھاتی,parhte
پلين,plan
ٹراے,try
دوائی,dawai
میڈل,madel
الہَّا,allah
فن,skyfunsantoshdost
بچے,bachy
گھنٹہ,ghanta
فولّو,follow
پليڈج,pledge
منصور,msnoor
دلائل,dlail
میسسج,msg
فرقہ,farqaleet
علیشا,it
من,man
حسبیند,husband
چہ,che
ھم,hum
ايسی,isi
لٹل,little
لائٹ,light
کائی,koe
اللام,salam
پوءتڑی,poetry
مائینڈ,mind
بوائیز,boy
مریم,mariam
بچو,bhejobecho
جبر,jaber
وائز,voice
يه,ye
سینٹ,decentnaveed
طعنہ,taana
ٹل,tell
پيس,pace
ٹرے,try
دم,dam
دیول,devil
ريسئو,receive
سماج,smjh
بکا,sabika1
کئی,kai
نۓ,new
سنی,sunny
دِن,din
پوٹ,pvt
ڈوم,skydome
شاذ,shz
فيٹ,fat
اِم,im
همہ,hmm
سپر,super
لیڈ,skale
لقب,laqab
راجہ,ashraf
فرصت,fursat
کوئن,queen
دیکھی,hogaedekhi
سترہ,sitara
الجھے,ujlay
بوکز,box
لب,lab
باے,by
سائیلینٹ,silent
ٹیکسٹ,txt
موبیک,mobile
جگ,jug
لسن,listen
لہجہ,thalehja
نسان,nishan
اينڈ,and
فہد,fahad
ملوں,haimillo
تھکی,jaothaki
کاپی,cpy
گروپس,grps
اچھل,uchal
ڈر,dar
پتھر,pathar
اينجؤاے,enjoy
وغیرہ,wagera
قلم,heqalm
کیبل,cable
جسٹن,justin
سننے,sunne
ھنر,hunar
صفائی,safai
ٹیگ,tag
انفارمشن,information
کوارٹر,quater
بخیریت,ba
سائٹ,site
فين,fine
قربت,qurbat
تریکس,tracks
جذبہ,jazba
کوئی,koi
ماج,image
لوکڈ,locked
انٹينشن,intention
نیہں,nhi
لمحہ,lamha
پریزنٹیشن,presntatn
وورڈ,password
توبہ,tobakiya
لاہور,lhr
ماءی,my
پروائی,purwaai
پی,pk
حمزه,hamza
چھوا,chua
چھوڑا,chora
يساج,usage
نہی,nai
پنناسول,pinnacle
ورڈز,words
بھائیوں,bhaion
ستاتے,sataty
ایشیا,asia
لاۓ,laaay
حل,hal
کمبخت,kambakhatbahir
ارڈر,order
سمندر,samandar
مٔي,may
پس,pas
آوروں,hainauron
کہہ,keh
نقاب,naqaab
دهی,sindhi
بھائیو,bhaio
تاب,betab4u
مرہم,marham
بکش,bakhsh
وٹ,what
ايٹ,eat
بچھا,bicha
گیو,gave
پو,gepoetri
دعا,dua
کڑکٹ,cricket
جزیرے,jazery
وقوف,bywaqof
لائق,laaiq
قرینہ,qarina
جلن,jalan
شہ,haisheh
مہینے,month
چھوڑو,choro
کرييٹ,create
بلیک,black
۱۲۴اؤشا۸۹,124
هولو,hello
انسٹیٹوٹ,insitute
اسلم,asalam
تھینک,thank
کمپیوٹر,computer
نک,nick
بہت,bohat
اَبدُّلہا,nan
کیئر,tc
چیپٹر,chapter
پرنسپل,principal
بیر,tabeer
ورک,ntwrk
صبح,subah
مثال,misaal
تن,tan
بچھڑے,becharay
پچھلا,pichla
لدھیانوی,ludhyanvi
گیم,game
جہلم,jhelum
اان,un
ڈرائیو,drives
زو,z0o
حادث,hadees
میجِک,magic
ایڈٹ,edit
سراسر,sarasar
مغل,mughal
فاصِل,fasil
ااپنے,haapna
بلبل,bulbul2
ساءیلنٹ,silent
آصِف,asif
ستارہ,kisitara
نس,nice
فخر,fakhur
راونڈ,round
جب,jab
فروري,february
مانگو,ktm
بنانے,banany
ختم,khatam
دِدّ,did
بڑاہی,barhai
غزنوی,ghaznavi2
ہنکس,thanks
کزن,kazan
پھیرا,pehra
لارج,large
مطلق,mutaliq
بتائے,btaega
سنّت,sunnat
فلاح,saifullah77
رگ,rahger
چارہ,payachara
قصے,qissay
محرک,muharak
کاٹیکٹ,contact
اُس,us
کاز,bcz
جمعرات,jumerat
ذلت,zillat
کھیلتے,khaltay
نبوت,nabuwat
رہتیں,reheta
نه,na
جاذب,jaazib
رٹس,rates
ایکسپٹ,accept
الیاس,bakhairilyasshah
لن,lun
چھے,chaye
چينج,change
نائیٹ,night
چیت,chat
معاویہ,mavia
لائیں,line
ڈیز,c”des
گاٹ,got
یه,ye
پاۓ,paey
شاہد,shaid
دھکّا,dhaka
جائیں,jain
ایز,as
امّت,ummat
کنول,kanwal
کامل,skan
الٔو,alive
رہ,reh
میت,mayyat
مچھروں,machron
سوسائیٹی,societykoi
بسی,bassi
سٹایل,style
چندہ,chanda
زرہ,zara
لؤو,love
میوزک,music
سہ,seh
یز,is
ماے,my
رووز,roz
نمبر,number
محل,mahal
۵۰آپ,50
کٹ,cut
نائٹ,night
بتاؤں,baton
یل,aik
خزانے,khazaane
منگوا,mangva
کالر,killer
نُٹ,not
زے,zax
7,7
300,300
122,122
23,atif
42,42
14,14
9,9
اور,aur
